Week Ending Date,State,Average Expected Count,Observed Number
2017-04-15,Montana,196,201
2017-04-15,Nebraska,333,318
2017-04-15,Nevada,471,508
2017-04-15,New Hampshire,230,219
2017-04-15,New Jersey,1426,1424
2017-04-15,New Mexico,354,352
2017-04-15,New York,2984,3054
2017-04-15,North Carolina,1799,1805
2017-04-15,North Dakota,140,140
2017-04-15,Ohio,2272,2465
2017-04-15,Oklahoma,770,724
2017-04-15,Oregon,705,687
2017-04-15,Pennsylvania,2634,2679
2017-04-15,Puerto Rico,585,567
2017-04-15,Rhode Island,210,194
2017-04-15,South Carolina,955,933
2017-04-15,South Dakota,147,167
2017-04-15,Tennessee,1420,1437
2017-04-15,Texas,3959,3752
2017-04-15,United States,54075,54971
2017-04-15,Utah,362,369
2017-04-15,Vermont,110,128
2017-04-15,Virginia,1291,1367
2017-04-15,Washington,1076,1060
2017-04-15,West Virginia,431,481
2017-04-15,Wisconsin,1011,1030
2017-04-15,Wyoming,86,97
2017-04-22,Alabama,1003,966
2017-04-22,Alaska,80,58
2017-04-22,Arizona,1086,1124
2017-04-22,Arkansas,598,604
2017-04-22,California,4922,5072
2017-04-22,Colorado,730,806
2017-04-22,Connecticut,595,602
2017-04-22,Delaware,171,203
2017-04-22,District of Columbia,110,134
2017-04-22,Florida,3971,3943
2017-04-22,Georgia,1633,1644
2017-04-22,Hawaii,240,205
